Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18, C19, C23, C7, C8",0603,6,4u7,C19666
"C10, C9",0402,2,12pF,C1547
"C11, C12, C13, C14, C15, C16, C17, C2, C20, C21, C24, C25, C3, C4, C5, C6",0402,16,100n,C1525
C22,0402,1,1u,C52923
C26,0402,1,10n,C15195
CN1,IDC-SMD_10P-P1.27_X1270WVS-2X05B-6TV01,1,20021521-00010T1LF,C2972785
"D1, D2, D3, D4, D7",LED0603-RD,5,KT-0603R,C2286
"D5, D6",LED0603-R-RD_WHITE,2,KT-0603W,C2290
D8,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL-1,1,SRV05-4_C7420376,C7420376
FB1,0603,1,GZ1608D601TF,C1002
JP1,RF-SMD_FRF05002-JSS103M,1,U.FL-R-SMT-1(80),C88374
L1,0805,1,27nH,C98992
"Q2, Q3, Q4",SOT-23,3,MMBT3904,C20526
"R1, R12, R15, R2, R21, R23, R25, R3, R4, R5, R8, R9",0402,12,5K1,C25905
"R10, R11, R16, R17, R20, R24, R6, R7",0402,8,1K5,C25867
"R13, R14, R22, R26",0603,4,680,C23228
R19,0402,1,10,C25077
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP22, TP23, TP24, TP3, TP3V3_0, TP3V3_1, TP3V3_2, TP3V3_3, TP4, TP6, TP7, TP8, TP9, TPG0, TPG1, TPG2, TPG3",TestPoint_Pad_D1.5mm,31,TestPoint,
U1,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117-3.3,C6186
U10,LGA-16_L4.5-W3.0-P0.50-BL,1,BMI088,C194919
U2,TSSOP-28_L9.7-W4.4-P0.65-LS6.4-TL,1,"PCA9685PW,118",C2678753
U3,LQFP-64_10x10mm_P0.5mm,1,STM32F411RETx,C94355
U4,SENSORM-SMD_BMP388,1,BMP388,C779278
U5,LGA-12_L2.0-W2.0-P0.50-BL,1,LIS3MDLTR,C478483
U9,SON-8_L3.0-W3.0-P0.65-LS3.0-BL-EP,1,TPS2113ADRBR,C354512
USB1,USB-C_SMD-TYPE-C-31-M-12,1,USB-TYPE-C-018,C2927038
X1,OSC-SMD_4P-L3.2-W2.5-BL,1,X322516MLB4SI,C13738
