Designator,Mid X,Mid Y,Rotation,Layer
BT1,-4.25,32.25,270.0,bottom
C1,-10.75,-3.25,180.0,top
C10,-6.75,6.75,0.0,top
C11,9.25,-29.5,90.0,top
C12,-3.25,15.0,90.0,top
C13,2.25,15.5,90.0,top
C14,-7.25,18.5,0.0,top
C15,-8.25,20.5,90.0,top
C16,-4.5,-13.25,270.0,top
C17,-1.25,-30.5,180.0,top
C18,-7.75,-41.5,0.0,top
C19,2.975,-31.0,180.0,top
C2,-1.98,-8.25,180.0,top
C20,2.25,23.5,0.0,top
C21,-2.0,20.25,90.0,top
C22,-1.0,23.5,180.0,top
C23,2.525,-43.0,180.0,top
C24,-0.5,-49.25,90.0,top
C25,9.73,-43.25,180.0,top
C26,5.0,34.48,270.0,top
C3,8.5,-2.25,270.0,top
C4,1.8,8.75,0.0,top
C5,-8.5,-3.25,90.0,top
C6,-6.52,5.0,0.0,top
C7,-9.25,3.25,0.0,top
C8,-4.5,-9.525,270.0,top
C9,-4.25,10.25,90.0,top
CN1,14.05,-1.21,270.0,top
D1,-2.0,-13.25,0.0,top
D2,-1.5,-45.5,270.0,top
D3,-1.95,-11.25,0.0,top
D4,17.8,-33.0,180.0,top
D5,-6.75,13.75,180.0,top
D6,17.8,-31.25,0.0,top
D7,17.8,-34.75,180.0,top
D8,8.25,-34.2,0.0,top
FB1,-9.5,5.7,270.0,top
JP1,8.26,38.4,270.0,top
L1,5.5,37.4,90.0,top
Q2,5.95,-15.9375,270.0,top
Q3,5.95,-8.3125,90.0,top
Q4,5.75,-23.8125,270.0,top
R1,2.26,18.75,270.0,top
R10,0.75,-8.5,270.0,top
R11,12.76,-34.75,0.0,top
R12,3.25,21.0,270.0,top
R13,13.075,-33.25,0.0,top
R14,13.325,-31.5,0.0,top
R15,17.75,-7.0,270.0,top
R16,-1.75,-48.240001,90.0,top
R17,9.25,-49.0,180.0,top
R19,4.0,36.0,270.0,top
R2,6.75,-13.25,0.0,top
R20,9.25,-47.75,0.0,top
R21,9.25,-42.0,180.0,top
R22,5.825,-48.0,0.0,top
R23,1.74,-22.5,0.0,top
R24,-1.5,10.25,90.0,top
R25,4.6,-44.75,180.0,top
R26,3.75,-21.0,0.0,top
R3,5.5,-11.0,180.0,top
R4,6.49,-18.5,180.0,top
R5,6.5,-5.75,0.0,top
R6,2.0,-9.51,270.0,top
R7,9.25,-37.4,90.0,top
R8,2.75,10.5,270.0,top
R9,-10.0,-6.25,270.0,top
U1,2.5,-37.5,270.0,top
U10,0.0,14.59,0.0,top
U2,-5.75,-35.75,0.0,top
U3,0.0,0.0,315.0,top
U4,-6.25,20.75,180.0,top
U5,0.0,21.25,90.0,top
U8,-4.0,32.5,180.0,top
U9,2.15,-50.33,90.0,top
USB1,15.1975,-40.75,90.0,top
X1,-7.5,9.37,180.0,top
