Designator,Mid X,Mid Y,Rotation,Layer
BT1,12.5,-42.5,0.0,bottom
C1,9.0,-25.0,270.0,top
C10,-0.7,-33.2,0.0,top
C11,-8.0,-1.5,0.0,top
C12,-3.75,-41.25,90.0,top
C13,-2.48,-38.25,180.0,top
C14,-9.499999,-31.75,270.0,top
C15,-6.0,-30.750001,0.0,top
C16,-11.5,-15.5,0.0,top
C17,6.0,-8.0,270.0,top
C18,4.5,-9.725,270.0,top
C19,2.0,-1.0,180.0,top
C2,7.5,-25.0,270.0,top
C21,-14.0,14.25,180.0,top
C22,-10.0,15.0,270.0,top
C23,3.0,11.0,0.0,top
C24,-4.98,15.5,0.0,top
C25,-5.75,5.820002,90.0,top
C3,7.5,-18.5,270.0,top
C4,-3.98,-14.5,0.0,top
C5,-7.75,-25.5,90.0,top
C6,2.25,-29.5,180.0,top
C7,-0.25,-30.5,90.0,top
C8,8.5,-20.5,0.0,top
C9,-2.8,-32.8,180.0,top
D1,-17.992499,-42.5,0.0,top
D2,-14.505,12.0,0.0,top
D3,-17.9925,-44.5,0.0,top
D4,18.4,-6.3,180.0,top
D5,1.2,17.2,0.0,top
D6,16.6,-4.6,180.0,top
FB1,2.25,-31.0,180.0,top
J4,-16.5,4.5,270.0,top
J5,-6.0,-8.77,180.0,top
Q1,8.0,18.0,0.0,top
Q2,8.95,-34.0,270.0,top
Q3,13.05,-34.0,90.0,top
Q4,9.6,24.6,90.0,top
R1,-9.000002,7.000002,0.0,top
R10,-8.25,-37.5,180.0,top
R11,-9.990001,16.75,180.0,top
R12,-3.25,1.259999,90.0,top
R13,17.6,-8.8,90.0,top
R14,16.0,-7.2,90.0,top
R16,-11.25,12.0,180.0,top
R17,-2.0,7.6,180.0,top
R18,10.0,21.5,0.0,top
R19,4.25,-14.25,180.0,top
R2,9.5,-30.0,0.0,top
R21,-9.5,1.500001,0.0,top
R22,4.8,14.2,270.0,top
R23,6.99,15.5,0.0,top
R24,8.99,15.5,0.0,top
R25,7.0,10.5,0.0,top
R26,4.75,-3.0,90.0,top
R3,11.5,-38.5,0.0,top
R4,9.5,-38.5,180.0,top
R5,13.51,-31.0,0.0,top
R6,-8.259999,-36.0,180.0,top
R7,-7.2,0.5,90.0,top
R8,-9.0,-29.0,0.0,top
R9,-10.0,-27.0,180.0,top
SW4,-15.75,-27.25,270.0,top
SW5,-15.75,-36.5,270.0,top
U1,4.5,5.0,270.0,top
U10,-8.500002,4.500001,0.0,top
U2,10.3375,-7.5,90.0,top
U3,0.0,-22.0,90.0,top
U4,-7.35,13.675,270.0,top
U5,-1.0,-41.25,0.0,top
U7,-6.999999,-32.735,0.0,top
U9,0.0,14.0,180.0,top
Y1,-2.25,-35.5,0.0,top
