Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT-TH_MY-927-01,1,Battery_Cell,
"C1, C18, C19, C21, C23, C7, C8",0603,7,4u7,
"C10, C9",0402,2,10pF,
"C11, C12, C13, C14, C15, C16, C17, C2, C22, C24, C25, C3, C4, C5, C6",0402,15,100n,
"D1, D2, D3, D4, D6",0603,5,STATUS,
D5,D_MiniMELF,1,ZMM5V6-M,
FB1,0603,1,GZ1608D601TF,
J4,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0,
J5,PinHeader_2x05_P1.27mm_Vertical,1,Conn_02x05_Odd_Even,
Q1,SOT-23,1,AO3401A,
"Q2, Q3, Q4",SOT-23,3,MMBT3904,
"R1, R12, R17, R19, R2, R21, R25, R3, R4, R5, R8, R9",0402,12,5K1,
"R10, R11, R16, R23, R24, R6, R7",0402,7,1K5,
"R13, R14, R18, R22, R26",0603,5,680,
"SW4, SW5",SW_SPDT_PCM12,2,MODE1,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U10,SOT-23-6,1,SRV05-4,
U2,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,1,PCA9685BS,
U3,LQFP-64_10x10mm_P0.5mm,1,STM32F411RETx,
U4,TDFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.4mm,1,MAX17044G+U,
U5,LGA-16_L4.5-W3.0-P0.50-BL,1,BMI088,C194919
U7,BoschSensortec-BMP-388_PQFN50P200X200X80-10N,1,BMP388,
U9,TSSOP-8_4.4x3mm_P0.65mm,1,TPS2113APW,
Y1,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,1,X322516MLB4SI,
