Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BH-25C-1_ADM,1,2998,DNP
BZ1,XDCR_CPT-3075-90T,1,102-CPT-3075-90T-ND,DNP
"C1, C11, C12, C13, C14, C15, C16, C19, C2, C20, C22, C23, C24, C27, C28, C29, C3, C30, C31, C32, C35, C36, C4, C5, C8, C9",0402,26,100n,C1525
"C10, C21, C33",0402,3,4.7u,C23733
"C17, C18",0603,2,4.7u,C19666
"C25, C26",0402,2,33p,C1562
C34,0402,1,10n,C15195
"C6, C7",0402,2,10p,C32949
CN1,IDC-SMD_10P-P1.27_X1270WVS-2X05B-6TV01,1,20021521-00010T1LF,C2972785
CN2,CONN-SMD_BM06B-SRSS-TBT-LF-SN,1,BM06B-SRSS-TBT(LF)(SN),C495540
"D1, D7",0603,2,19-213/Y2C-CQ2R2L/3T(CY),C72038
"D2, D4, D6",0603,3,KT-0603R,C2286
D3,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL-1,1,SRV05-4_C7420376,C7420376
FB1,0603,1,GZ1608D601TF,C1002
"H1, H2, H3, H4, H5, H6",MountingHole_3.2mm_M3,6,DIN912,DNP
J1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02,DNP
"J2, J3, J4",PinHeader_1x08_P2.54mm_Vertical,3,Conn_01x09,DNP
J5,SMA-TH_KH-SMA-KE-Z,1,GNSS_RF,DNP
"J6, J7",JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,2,Conn_01x06,C133065
J8,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,DNP
L1,0805,1,27nH,C98992
"Q2, Q3",SOT-23,2,MMBT3904,C20526
"R1, R12, R13, R2, R25, R3, R4, R6",0402,8,5.1K,C25905
"R10, R11, R21",0402,3,1K,C11702
"R14, R15, R16, R17",0402,4,5.1K,C25905
"R18, R19",0402,2,1.5K,C25867
R20,0603,1,3K,C4211
R22,0603,1,10,C22859
R23,0603,1,7.5K,C23234
"R24, R26, R27, R5, R9",0603,5,150,C22808
"R7, R8",0402,2,1.5K,C25867
"SW1, SW2",SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243,2,SW_RST,DNP
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37, TP38, TP39, TP4, TP40, TP41, TP42, TP43, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,41,TestPoint,
"TP2, TP3",TestPoint_Pad_2.0x2.0mm,2,TestPoint,DNP
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F401RCTx,C74524
U10,Texas_PWSON-N6,1,HDC1080,C82227
U11,LGA-12_2x2mm_P0.5mm,1,LIS3MDL,C478483
U12,ublox_NEO,1,NEO-M8N,DNP
U2,SENSORM-SMD_BMP388,1,BMP388,C779278
U3,LGA-16_L4.5-W3.0-P0.50-BL,1,BMI088,C194919
U4,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,1,GT-USB-7010ASV,C2988369
U5,SOIC-14W_7.5x9mm_P1.27mm,1,NPA-730B-10WD,DNP
U6,SOT-223,1,AMS1117-3.3,C6186
U7,VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm,1,TPS2113ADRBR,C354512
U8,TSSOP-28_4.4x9.7mm_P0.65mm,1,PCA9685PW,C2678753
U9,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,DNP
X1,OSC-SMD_4P-L3.2-W2.5-BL,1,X322512MSB4SI,C9002
X2,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346
